Lead Name,Stage,Status,Score,City,State,Notes,Next Action,Client,Created By,Assigned To,Market Sector,Offices,Service Types,Record Source,Marketing Campaign,Create Date,Month Created,Origination Date,Bid Date,Tickler Date,Sub Categories,Est. Cost,Lead Age (days),Lead Days in System,Conversion to Opp Hours,Conversion to Opp Days,Email,Conversion Status,Last Modified Date,Last Event,Risk Profile,Deliverables,Comments,Contact,Phone,Contract Type,Form URL,Primary Categories,Secondary Categories,Divisions,Studios,Client Type,Office Division,Lead Source,Estimated Size,Estimated Unit Size,Solicitation Number,NAICS Code(s)
Evans Freedom Gateway ,Unassigned,Open,(1) Unlikely,Loveland,Colorado,,Start proposal for this - February/March Kick-Off TBD,,Joe Berlin,Holly Fink Joe Berlin Jordan Lockner,Residential,,,Email,,08/29/2024,2024-Aug,08/29/2024,,12/16/2024,,,693,693,,,,none,12/09/2024,,,,,"Bowman, Collin",,,,,,,,,,,,,,
Dillon Amphitheater Restroom Remodel,Assigned,Open,(3) Likely,Dillon,Colorado,,Putting together a proposal for Ryan ,JHL Constructors,Jordan Lockner,Jordan Lockner,Recreation Culture,,Architecture,Email,,10/20/2024,2024-Oct,10/20/2024,11/01/2024,01/15/2025,,,641,641,,,agish@jhlconstructors.com,none,12/16/2024,,,,,"Gish, Alex",(720) 305-6225,,,,Bathrooms,,,Public,,,,,,
Weld County Administration,Unassigned,Open,(2) Meh,Greeley,Colorado,Need to create renderings and set up a meeting with Kevin Ross.   Kevin referenced this building - this is what they want https://www.pcl.com/us/en/our-work/clackamas-county-circuit-courthouse / https://www.dlrgroup.com/work/clackamas-county-courthouse/  Check for Master Plan from Gensler to be released Jan/Feb 2025.  Discuss Renderings Januray / February  ,Riley Johnson providing schematics - Jeff to set up meeting. Approved to go downtown. ,Weld County,Jordan Lockner,Holly Fink Joe Berlin Jordan Lockner,Civic,,Architecture,Email,,10/24/2024,2024-Oct,10/24/2024,06/13/2025,01/06/2025,,,637,637,,,,none,06/08/2026,,,,,"Ross, Kevin",(970) 381-5172,,,Administration Municipal Justice Center,,,,Public,,,425000,,,
Bond Election - Montrose CO School District _ RE-1J,Unassigned,Open,(1) Unlikely,Montrose,Colorado,"Note: Review November ballot results when tickler hits in December  CIP Description:  The District will place a $198 million bond issue on the  November ballot. If it is successful, they plan to replace the  high school with a mostly new building, and to make additional  improvements on campus. They will seek design services  if/when the bond passes.  Note: CIP Report Update 12-02-2024 - Voters did NOT approve this bond. ",Follow Up with Riley at Dynamic to make introductions for next round of ballot initiatives.,,Erica Sayers,Holly Fink Erica Sayers,Education,,Architecture,,,10/25/2024,2024-Oct,10/01/2024,,01/06/2025,,"$198,000,000",660,636,,,micah.adams@dynamicpm.com,none,12/09/2024,,,,,"Adams, Micah",,,,K-12,Classrooms Food Service Entry Vestibule Security Site Circulation,,,,,CIP,,,CIP ID # 93649,
Denver TF - 16th Street retail,Unassigned,Open,(2) Meh,Denver,Colorado,,Jordan followed up week of 12/20 - not update,,Jordan Lockner,Jordan Lockner,,,,Email,,11/04/2024,2024-Nov,11/04/2024,,12/12/2024,,,626,626,,,,none,12/09/2024,,,,,,,,,,,,,,,,,,,
Capital Projects Bond,Unassigned,Open,(1) Unlikely,Alamosa,Colorado,"CIP Description:  The District placed a $28 million bond measure on the November ballot this year, for various health and safety and other improvements at the District's schools. Unfortunately, the bond did not pass. ",Follow Up with Dawn / Alamosa Contacts to Make Introductions for next round of bond ballots.,Alamosa School District,Erica Sayers,Holly Fink Erica Sayers,Education,,Architecture,Email,,12/04/2024,2024-Dec,12/02/2024,,03/03/2025,,"$28,000,000",598,596,,,djones@alamosaschools.org,none,12/09/2024,,,,,"Jones, Diana",(719) 587-1600,,,K-12,Classrooms Children's Spaces,,,Public,,CIP,,,CIP ID # 93411,
AHU Air Handling - Student Center,Unassigned,Open,(1) Unlikely,,,,2025 RFP Release - RFP anticipated April/May,Front Range Community College,Holly Fink,Holly Fink,,,,Email,,12/09/2024,2024-Dec,12/09/2024,,01/31/2025,,,591,591,,,,none,,,,,,,,,,,,,,,,,,,,
Roof Replacement - Westminster ,Unassigned,Open,(1) Unlikely,Westminster,Colorado,,2025 RFP Release - RFP anticipated April/May,Front Range Community College,Holly Fink,Holly Fink,,,,Email,,12/09/2024,2024-Dec,12/09/2024,,01/31/2025,,,591,591,,,,none,,,,,,,,,,,,,,,,,,,,
Sports Complex - Vandeveer,Unassigned,Open,(2) Meh,Salida,Colorado,Need to establish a POC  Unsure who to associate with this lead...the City? Private Entity? Etc.  Please advise Jordan on whether this is private or public. And any additional info ,Need to establish Point of Contact,,Erica Sayers,Holly Fink Jordan Lockner Erica Sayers,,,,Email,,12/18/2024,2024-Dec,12/18/2024,,,,"$4,300,000",582,582,,,,none,,,,,,,,,,,,,,,,,,,,
Salida Recreation Center,Unassigned,Open,(1) Unlikely,Salida,Colorado,2029 - need point of contact - Notes in Leads Group Spreadsheet was that the Director was NOT interested in meeting or sharing future plans. ,Email out to Ryan to establish introduction,City of Salida,Erica Sayers,Holly Fink Jordan Lockner Erica Sayers,Civic Recreation,,,Email,,12/18/2024,2024-Dec,12/18/2024,,,,"$10,387,711",582,582,,,,none,07/07/2025,,,,,,,,,Athletic Facilities,,,,Public,,,,,,
